Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 50.00      0.01     0.01    10303     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
 25.00      0.01     0.01   818403     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
 25.00      0.02     0.01   818403     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.02     0.00    40428     0.00     0.00  unsigned long& std::forward<unsigned long&>(std::remove_reference<unsigned long&>::type&)
  0.00      0.02     0.00    37869     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.02     0.00    24573     0.00     0.00  std::pair<int, int>* std::__addressof<std::pair<int, int> >(std::pair<int, int>&)
  0.00      0.02     0.00    23545     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.02     0.00    20503     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) const
  0.00      0.02     0.00    20503     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00      0.02     0.00    20257     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.02     0.00    20229     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::__normal_iterator(std::pair<int, int>* const&)
  0.00      0.02     0.00    16382     0.00     0.00  std::pair<int, int>&& std::forward<std::pair<int, int> >(std::remove_reference<std::pair<int, int> >::type&)
  0.00      0.02     0.00    15214     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.02     0.00    15148     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::operator*() const
  0.00      0.02     0.00    12623     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
  0.00      0.02     0.00    10403     0.00     0.00  std::setw(int)
  0.00      0.02     0.00    10310     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  0.00      0.02     0.00    10307     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.02     0.00    10303     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.02     0.00    10303     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.02     0.00    10303     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.02     0.00    10302     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.02     0.00    10302     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.02     0.00    10302     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.02     0.00    10302     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00      0.02     0.00    10302     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.02     0.00    10201     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.02     0.00    10158     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::base() const
  0.00      0.02     0.00    10103     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.02     0.00    10102     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00      0.02     0.00    10102     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::empty() const
  0.00      0.02     0.00    10102     0.00     0.00  std::deque<int, std::allocator<int> >::end()
  0.00      0.02     0.00    10102     0.00     0.00  std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.02     0.00    10101     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.02     0.00    10101     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00      0.02     0.00    10101     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator--()
  0.00      0.02     0.00    10101     0.00     0.00  std::deque<int, std::allocator<int> >::back()
  0.00      0.02     0.00    10101     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::top()
  0.00      0.02     0.00    10100     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::operator[](unsigned long)
  0.00      0.02     0.00    10096     0.00     0.00  unsigned long&& std::forward<unsigned long>(std::remove_reference<unsigned long>::type&)
  0.00      0.02     0.00     8191     0.00     0.00  void std::__relocate_object_a<std::pair<int, int>, std::pair<int, int>, std::allocator<std::pair<int, int> > >(std::pair<int, int>*, std::pair<int, int>*, std::allocator<std::pair<int, int> >&)
  0.00      0.02     0.00     8191     0.00     0.00  std::remove_reference<std::pair<int, int>&>::type&& std::move<std::pair<int, int>&>(std::pair<int, int>&)
  0.00      0.02     0.00     7576     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.02     0.00     5106     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::size() const
  0.00      0.02     0.00     5065     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::end()
  0.00      0.02     0.00     5052     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.02     0.00     5052     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.02     0.00     5051     0.00     0.00  std::deque<int, std::allocator<int> >::pop_back()
  0.00      0.02     0.00     5051     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
  0.00      0.02     0.00     5051     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::pop()
  0.00      0.02     0.00     5051     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::push(int const&)
  0.00      0.02     0.00     5051     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.02     0.00     5050     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::operator-(long) const
  0.00      0.02     0.00     5050     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::operator+(long) const
  0.00      0.02     0.00     5050     0.00     0.00  std::uniform_int_distribution<unsigned long>::param_type::a() const
  0.00      0.02     0.00     5050     0.00     0.00  std::pair<int, int>::pair<unsigned long&, unsigned long&, true>(unsigned long&, unsigned long&)
